preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Gigantes And Giants,FFFFFF,Porphyrion,Porphyrion,8,,Gold,Square with round hole,Porphyrion,Porphyrion,Round canvas portrait of Porphyrion,Round canvas portrait of Zeus palette: Gold.,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Greek/Gigantes_Giants/Porphyrion,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Porphyrion""}]",,,,,,,,,,,,,,
,,,,Gigantes And Giants,FFFFFF,Alcyoneus,Alcyoneus,,,Green,,Alcyoneus,,Round canvas portrait of Alcyoneus,Round canvas portrait of Posiedon,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gigantes_Giants/Alcyoneus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Alcyoneus""}]",,,,,,,,,,,,,,
,,,,Gigantes And Giants,FFFFFF,Antaeus,Antaeus,,,,,Antaeus,,Round canvas portrait of Antaeus,Round canvas portrait of Ares,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gigantes_Giants/Antaeus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Antaeus""}]",,,,,,,,,,,,,,
,,,,Gigantes And Giants,FFFFFF,Enceladus,Enceladus,,,,,Enceladus,,Round canvas portrait of Enceladus,Round canvas portrait of HADES,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gigantes_Giants/Enceladus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Enceladus""}]",,,,,,,,,,,,,,
,,,,Gigantes And Giants,FFFFFF,Mimas,Mimas,,,,,Mimas,,Round canvas portrait of Mimas,Round canvas portrait of Aphrodite,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gigantes_Giants/Mimas,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Mimas""}]",,,,,,,,,,,,,,
,,,,Gigantes And Giants,FFFFFF,Polybotes,Polybotes,,,,,Polybotes,,Round canvas portrait of Polybotes,Round canvas portrait of Apollo,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gigantes_Giants/Polybotes,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Polybotes""}]",,,,,,,,,,,,,,
,,,,Gigantes And Giants,FFFFFF,The Hecatoncheires,The Hecatoncheires,,,,,The Hecatoncheires,,Round canvas portrait of The Hecatoncheires,Round canvas portrait of Athena,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gigantes_Giants/The Hecatoncheires,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""The Hecatoncheires""}]",,,,,,,,,,,,,,
