preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,,,,Hero Stories And Collections,FFFFFF,2. Hector And Paris,2. Hector And Paris,,,,,2-hector-and-paris,,,Round canvas portrait of 2. Hector And Paris,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""2. Hector And Paris""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,3. Helen of Troy,3. Helen of Troy,,,,,3-helen-of-troy,,,Round canvas portrait of 3. Helen of Troy,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""3. Helen of Troy""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,4. Achilles Vs Hector,4. Achilles Vs Hector,,,,,4-achilles-vs-hector,,,Round canvas portrait of 4. Achilles Vs Hector,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""4. Achilles Vs Hector""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,5. The Trojan Horse,5. The Trojan Horse,,,,,5-the-trojan-horse,,,Round canvas portrait of 5. The Trojan Horse,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""5. The Trojan Horse""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,6. The Trojan war,6. The Trojan war,,,,,6-the-trojan-war,,,Round canvas portrait of 6. The Trojan war,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""6. The Trojan war""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,7. Achilles Heal,7. Achilles Heal,,,,,7-achilles-heal,,,Round canvas portrait of 7. Achilles Heal,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""7. Achilles Heal""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,Achilles And The War Of Troy - Collection One,Achilles And The War Of Troy - Collection One,,,,,achilles-and-the-war-of-troy-collection-one,,,Round canvas portrait of Achilles And The War Of Troy - Collection One,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy - Collection One,,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Achilles And The War Of Troy - Collection One""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,Achilles And The War Of Troy - Collection Two,Achilles And The War Of Troy - Collection Two,,,,,achilles-and-the-war-of-troy-collection-two,,,Round canvas portrait of Achilles And The War Of Troy - Collection Two,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy - Collection Two,,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Achilles And The War Of Troy - Collection Two""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,Achilles And The War Of Troy - Collection Three,Achilles And The War Of Troy - Collection Three,,,,,achilles-and-the-war-of-troy-collection-three,,,Round canvas portrait of Achilles And The War Of Troy - Collection Three,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy - Collection Three,,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Achilles And The War Of Troy - Collection Three""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,,1. Calibos's Giant Vulture,1. Calibos's Giant Vulture,,,,,1-calibos-s-giant-vulture,,,Round canvas portrait of 1. Calibos's Giant Vulture,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Perseus And The Titans (Singles),,,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""1. Calibos's Giant Vulture""}]",,,,,,,,,,,,
